reference_id,citation_purpose,provisional_reference,source_used,DOI,PMID,URL,confidence,needs_human_verification,issue_to_verify,manuscript_location
R01,OpenNeuro platform and public-data sharing context,"Markiewicz CJ, Gorgolewski KJ, Feingold F, Blair R, Halchenko YO, Miller E, et al. The OpenNeuro resource for sharing of neuroscience data. eLife. 2021;10:e71774. doi:10.7554/eLife.71774.",eLife/PubMed,10.7554/eLife.71774,34658334,https://elifesciences.org/articles/71774,high,False,Verify final journal abbreviation and Sage Vancouver punctuation.,Introduction; Data Availability
R02,Primary D1/D3 OpenNeuro dataset ds003522,"Cavanagh JF, Quinn D. EEG: Three-Stim Auditory Oddball and Rest in Acute and Chronic TBI [dataset]. OpenNeuro; version 1.1.0. doi:10.18112/openneuro.ds003522.v1.1.0.",Local dataset_description.json,10.18112/openneuro.ds003522.v1.1.0,,https://openneuro.org/datasets/ds003522,medium,True,Confirm OpenNeuro preferred dataset citation format and release date.,Methods: Datasets and Participants
R03,D2 DPX OpenNeuro dataset ds005114,Cavanagh JF. EEG: DPX Cog Ctl Task in Acute Mild TBI [dataset]. OpenNeuro; version 1.0.0. doi:10.18112/openneuro.ds005114.v1.0.0.,Local dataset_description.json,10.18112/openneuro.ds005114.v1.0.0,,https://openneuro.org/datasets/ds005114,medium,True,Confirm OpenNeuro preferred dataset citation format and release date.,Methods: Datasets and Participants
R04,D2 visual working memory OpenNeuro dataset ds003523,Cavanagh JF. EEG: Visual Working Memory in Acute TBI [dataset]. OpenNeuro; version 1.1.0. doi:10.18112/openneuro.ds003523.v1.1.0.,Local dataset_description.json,10.18112/openneuro.ds003523.v1.1.0,,https://openneuro.org/datasets/ds003523,medium,True,Confirm OpenNeuro preferred dataset citation format and release date.,Methods: Datasets and Participants
R05,Comparator-only OpenNeuro dataset ds003490,Cavanagh JF. EEG: 3-Stim Auditory Oddball and Rest in Parkinson's [dataset]. OpenNeuro; version 1.1.0. doi:10.18112/openneuro.ds003490.v1.1.0.,Local dataset_description.json,10.18112/openneuro.ds003490.v1.1.0,,https://openneuro.org/datasets/ds003490,medium,True,Confirm OpenNeuro preferred dataset citation format and release date.,Methods: Datasets and Participants; ds003490 comparator section
R06,Published ds003522/mTBI ERP context,"Cavanagh JF, Wilson JK, Rieger RE, Gill D, Broadway JM, Story Remer JH, et al. ERPs predict symptomatic distress and recovery in sub-acute mild traumatic brain injury. Neuropsychologia. 2019;132:107125. doi:10.1016/j.neuropsychologia.2019.107125.",PubMed/PMC,10.1016/j.neuropsychologia.2019.107125,31228481,https://pubmed.ncbi.nlm.nih.gov/31228481/,high,False,Verify final author truncation and journal abbreviation.,Methods: Datasets and Participants; Results: Original Candidate
R07,Published ds005114/mTBI theta/white matter context,"Cavanagh JF, Rieger RE, Wilson JK, Gill D, Fullerton L, Brandt E, et al. Joint analysis of frontal theta synchrony and white matter following mild traumatic brain injury. Brain Imaging Behav. 2020;14(6):2210-2223. doi:10.1007/s11682-019-00171-y.",PubMed/Crossref,10.1007/s11682-019-00171-y,31368085,https://pubmed.ncbi.nlm.nih.gov/31368085/,high,False,Verify final author truncation and journal abbreviation.,Methods: D2 Bounded Cross-Task Falsification Analysis
R08,Published ds003490 comparator paper,"Cavanagh JF, Kumar P, Mueller AA, Richardson SP, Mueen A. Diminished EEG habituation to novel events effectively classifies Parkinson's patients. Clin Neurophysiol. 2018;129(2):409-418. doi:10.1016/j.clinph.2017.11.023.",PubMed/PMC,10.1016/j.clinph.2017.11.023,29294412,https://pubmed.ncbi.nlm.nih.gov/29294412/,high,False,Verify final title capitalization and journal abbreviation.,Methods: ds003490 Comparator/Pipeline Rehearsal
R09,DataLad provenance/retrieval method citation,"Halchenko YO, Meyer K, Poldrack B, Solanky DS, Wagner AS, Gors J, et al. DataLad: distributed system for joint management of code, data, and their relationship. J Open Source Softw. 2021;6(63):3262. doi:10.21105/joss.03262.",JOSS/PubMed,10.21105/joss.03262,39469147,https://joss.theoj.org/papers/10.21105/joss.03262,high,False,Verify final author truncation and journal abbreviation.,Methods: Reproducibility and Audit Procedures
R10,MNE-Python EEG file reading and analysis software,"Gramfort A, Luessi M, Larson E, Engemann DA, Strohmeier D, Brodbeck C, et al. MNE software for processing MEG and EEG data. Neuroimage. 2014;86:446-460. doi:10.1016/j.neuroimage.2013.10.027.",PubMed,10.1016/j.neuroimage.2013.10.027,24161808,https://pubmed.ncbi.nlm.nih.gov/24161808/,high,False,Verify final journal abbreviation.,Methods: EEG Preprocessing and Feature Extraction
R11,Aperiodic/specparam/FOOOF method context,"Donoghue T, Haller M, Peterson EJ, Varma P, Sebastian P, Gao R, et al. Parameterizing neural power spectra into periodic and aperiodic components. Nat Neurosci. 2020;23(12):1655-1665. doi:10.1038/s41593-020-00744-x.",PubMed/Crossref,10.1038/s41593-020-00744-x,33230329,https://pubmed.ncbi.nlm.nih.gov/33230329/,high,False,Verify final issue/page formatting.,Methods: EEG Preprocessing and Feature Extraction
R12,Benjamini-Hochberg FDR method,"Benjamini Y, Hochberg Y. Controlling the false discovery rate: a practical and powerful approach to multiple testing. J R Stat Soc Series B Stat Methodol. 1995;57(1):289-300. doi:10.1111/j.2517-6161.1995.tb02031.x.",Royal Statistical Society/Wiley DOI metadata,10.1111/j.2517-6161.1995.tb02031.x,,https://rss.onlinelibrary.wiley.com/doi/10.1111/j.2517-6161.1995.tb02031.x,high,False,Verify final Sage Vancouver abbreviation for the journal title.,Methods: Statistical Analysis; Multiple-Comparison Handling
R13,EEG/EMG contamination caution,"Whitham EM, Pope KJ, Fitzgibbon SP, Lewis T, Clark CR, Loveless S, et al. Scalp electrical recording during paralysis: quantitative evidence that EEG frequencies above 20 Hz are contaminated by EMG. Clin Neurophysiol. 2007;118(8):1877-1888. doi:10.1016/j.clinph.2007.04.027.",PubMed,10.1016/j.clinph.2007.04.027,17574912,https://pubmed.ncbi.nlm.nih.gov/17574912/,high,False,Verify final author truncation.,Introduction; Discussion: Why Artifact Control Changed Interpretation
R14,EEG/EMG contamination spectral/topographic caution,"Goncharova II, McFarland DJ, Vaughan TM, Wolpaw JR. EMG contamination of EEG: spectral and topographical characteristics. Clin Neurophysiol. 2003;114(9):1580-1593. doi:10.1016/S1388-2457(03)00093-2.",PubMed,10.1016/S1388-2457(03)00093-2,12948787,https://pubmed.ncbi.nlm.nih.gov/12948787/,high,False,Verify final capitalization and page range.,Introduction; Discussion: Why Artifact Control Changed Interpretation
